./20170428-Barrett/cdt-cade2015/nada/gandl/bird_tree/x2015_09_10_16_54_42_821_1024603.smt_in.smt2, unsat, 5, v1, 188.97072845883667
./20170428-Barrett/cdt-cade2015/nada/gandl/bird_tree/x2015_09_10_16_54_42_821_1024603.smt_in.smt2, unsat, 5, v3, 223.70351994410157
./20170428-Barrett/cdt-cade2015/nada/gandl/bird_tree/x2015_09_10_16_54_42_821_1024603.smt_in.smt2, unsat, 5, v3si, 252.18201404996216
./sledgehammer/Fundamental_Theorem_Algebra/uf.1459663.smt2, unsat, 7, v1, 849.2133635282516
./sledgehammer/Fundamental_Theorem_Algebra/uf.1459663.smt2, unsat, 7, v3, 464.97182013094425
./sledgehammer/Fundamental_Theorem_Algebra/uf.1459663.smt2, unsat, 7, v3si, 463.71933278255165
./sledgehammer/Hoare/smtlib.968096.smt2, unsat, 11, v1, 241.77879571728408
./sledgehammer/Hoare/smtlib.968096.smt2, unsat, 11, v3, 348.7124729603529
./sledgehammer/Hoare/smtlib.968096.smt2, unsat, 11, v3si, 347.40735918469727
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_56_18_305_1444907.smt_in.smt2, unsat, 7, v1, 739.2182067576796
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_56_18_305_1444907.smt_in.smt2, unsat, 7, v3, 552.4386419709772
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_56_18_305_1444907.smt_in.smt2, unsat, 7, v3si, 1076.2820060625672
./grasshopper/instantiated/find_check_heap_access_17_2.smt2, unsat, 25, v1, 438.11460326239467
./grasshopper/instantiated/find_check_heap_access_17_2.smt2, unsat, 25, v3, 448.28222304210067
./grasshopper/instantiated/find_check_heap_access_17_2.smt2, unsat, 25, v3si, 442.29841366037726
./sledgehammer/TwoSquares/uf.783264.smt2, unsat, 25, v1, 916.6663793791085
./sledgehammer/TwoSquares/uf.783264.smt2, unsat, 25, v3, 925.498550100252
./sledgehammer/TwoSquares/uf.783264.smt2, unsat, 25, v3si, 899.6205045580864
./grasshopper/instantiated/rec_copy_postcondition_of_rec_copy_53_2.smt2, unsat, 18, v1, 420.70178213343024
./grasshopper/instantiated/rec_copy_postcondition_of_rec_copy_53_2.smt2, unsat, 18, v3, 421.17036335915327
./grasshopper/instantiated/rec_copy_postcondition_of_rec_copy_53_2.smt2, unsat, 18, v3si, 413.9353009387851
./grasshopper/uninstantiated/rec_traverse_precondition_of_rec_traverse_16_4.smt2, unsat, 11, v1, 269.24869201146066
./grasshopper/uninstantiated/rec_traverse_precondition_of_rec_traverse_16_4.smt2, unsat, 11, v3, 26.333792842924595
./grasshopper/uninstantiated/rec_traverse_precondition_of_rec_traverse_16_4.smt2, unsat, 11, v3si, 26.599029118195176
./sledgehammer/Hoare/uf.968765.smt2, unsat, 6, v1, 612.4195525106043
./sledgehammer/Hoare/uf.968765.smt2, unsat, 6, v3, 218.55373384058475
./sledgehammer/Hoare/uf.968765.smt2, unsat, 6, v3si, 729.6108600273728
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_07_47_308_2265102.smt_in.smt2, unsat, 6, v1, 444.4346371050924
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_07_47_308_2265102.smt_in.smt2, unsat, 6, v3, 440.7758345361799
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_07_47_308_2265102.smt_in.smt2, unsat, 6, v3si, 312.19858091697097
./sledgehammer/Fundamental_Theorem_Algebra/uf.1314985.smt2, unsat, 11, v1, 1181.5715749170631
./sledgehammer/Fundamental_Theorem_Algebra/uf.1314985.smt2, unsat, 11, v3, 1058.924535445869
./sledgehammer/Fundamental_Theorem_Algebra/uf.1314985.smt2, unsat, 11, v3si, 1068.8842159677297
./grasshopper/instantiated/filter_loop_check_heap_access_29_8.smt2, unsat, 26, v1, 361.94838825426996
./grasshopper/instantiated/filter_loop_check_heap_access_29_8.smt2, unsat, 26, v3, 360.7268809173256
./grasshopper/instantiated/filter_loop_check_heap_access_29_8.smt2, unsat, 26, v3si, 344.34798848070204
./20170428-Barrett/cdt-cade2015/nada/afp/sorted_list_operations/x2015_09_10_16_47_48_233_1073860.smt_in.smt2, unsat, 9, v1, 407.98791624605656
./20170428-Barrett/cdt-cade2015/nada/afp/sorted_list_operations/x2015_09_10_16_47_48_233_1073860.smt_in.smt2, unsat, 9, v3, 405.04119089990854
./20170428-Barrett/cdt-cade2015/nada/afp/sorted_list_operations/x2015_09_10_16_47_48_233_1073860.smt_in.smt2, unsat, 9, v3si, 180.8086032513529
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_14_08_793_2694000.smt_in.smt2, unsat, 6, v1, 259.10714002139866
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_14_08_793_2694000.smt_in.smt2, unsat, 6, v3, 339.3883079420775
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_14_08_793_2694000.smt_in.smt2, unsat, 6, v3si, 298.06222550198436
./20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_54_12_520_1461971.smt_in.smt2, unsat, 7, v1, 446.10482005774975
./20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_54_12_520_1461971.smt_in.smt2, unsat, 7, v3, 506.1251862924546
./20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_54_12_520_1461971.smt_in.smt2, unsat, 7, v3si, 524.8076962623745
./sledgehammer/Fundamental_Theorem_Algebra/uf.1288658.smt2, unsat, 18, v1, 239.48137028887868
./sledgehammer/Fundamental_Theorem_Algebra/uf.1288658.smt2, unsat, 18, v3, 187.82551015168428
./sledgehammer/Fundamental_Theorem_Algebra/uf.1288658.smt2, unsat, 18, v3si, 349.0465478654951
./20170428-Barrett/cdt-cade2015/nada/distro/stream/x2015_09_10_16_48_05_525_1072875.smt_in.smt2, unsat, 5, v1, 552.4708879347891
./20170428-Barrett/cdt-cade2015/nada/distro/stream/x2015_09_10_16_48_05_525_1072875.smt_in.smt2, unsat, 5, v3, 367.0459268093109
./20170428-Barrett/cdt-cade2015/nada/distro/stream/x2015_09_10_16_48_05_525_1072875.smt_in.smt2, unsat, 5, v3si, 505.585788751021
./grasshopper/uninstantiated/insert_postcondition_of_insert_14_4.smt2, unsat, 10, v1, 206.62532914802432
./grasshopper/uninstantiated/insert_postcondition_of_insert_14_4.smt2, unsat, 10, v3, 163.84640048630536
./grasshopper/uninstantiated/insert_postcondition_of_insert_14_4.smt2, unsat, 10, v3si, 163.35951889306307
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_14_33_263_2707193.smt_in.smt2, unsat, 7, v1, 202.3261945899576
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_14_33_263_2707193.smt_in.smt2, unsat, 7, v3, 269.63198447041214
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_14_33_263_2707193.smt_in.smt2, unsat, 7, v3si, 400.84309870004654
./sledgehammer/Fundamental_Theorem_Algebra/uf.1309838.smt2, unsat, 13, v1, 214.50687046721578
./sledgehammer/Fundamental_Theorem_Algebra/uf.1309838.smt2, unsat, 13, v3, 602.3916308544576
./sledgehammer/Fundamental_Theorem_Algebra/uf.1309838.smt2, unsat, 13, v3si, 116.06591488979757
./grasshopper/uninstantiated/rec_copy_loop_check_heap_access_44_4.smt2, unsat, 11, v1, 366.3789081517607
./grasshopper/uninstantiated/rec_copy_loop_check_heap_access_44_4.smt2, unsat, 11, v3, 268.31854005530477
./grasshopper/uninstantiated/rec_copy_loop_check_heap_access_44_4.smt2, unsat, 11, v3si, 269.35980138368905
./sledgehammer/Hoare/uf.775979.smt2, unsat, 8, v1, 588.0942035615444
./sledgehammer/Hoare/uf.775979.smt2, unsat, 8, v3, 278.1848353575915
./sledgehammer/Hoare/uf.775979.smt2, unsat, 8, v3si, 16.197235731408
./20170428-Barrett/cdt-cade2015/nada/afp/abstract_completeness/x2015_09_10_17_00_17_276_1085125.smt_in.smt2, unsat, 5, v1, 317.92593610845506
./20170428-Barrett/cdt-cade2015/nada/afp/abstract_completeness/x2015_09_10_17_00_17_276_1085125.smt_in.smt2, unsat, 5, v3, 370.70025622844696
./20170428-Barrett/cdt-cade2015/nada/afp/abstract_completeness/x2015_09_10_17_00_17_276_1085125.smt_in.smt2, unsat, 5, v3si, 336.3846108522266
./sledgehammer/Fundamental_Theorem_Algebra/uf.1398696.smt2, unsat, 18, v1, 413.3947579562664
./sledgehammer/Fundamental_Theorem_Algebra/uf.1398696.smt2, unsat, 18, v3, 362.28963926434517
./sledgehammer/Fundamental_Theorem_Algebra/uf.1398696.smt2, unsat, 18, v3si, 522.8503328952938
./sledgehammer/Fundamental_Theorem_Algebra/uf.1266708.smt2, unsat, 25, v1, 598.8902450148016
./sledgehammer/Fundamental_Theorem_Algebra/uf.1266708.smt2, unsat, 25, v3, 601.1025691330433
./sledgehammer/Fundamental_Theorem_Algebra/uf.1266708.smt2, unsat, 25, v3si, 594.7411002125591
./grasshopper/instantiated/find_precondition_of_find_19_11.smt2, unsat, 25, v1, 407.94537457823753
./grasshopper/instantiated/find_precondition_of_find_19_11.smt2, unsat, 25, v3, 394.1945762876421
./grasshopper/instantiated/find_precondition_of_find_19_11.smt2, unsat, 25, v3si, 401.50116080604494
./sledgehammer/Hoare/uf.1124589.smt2, unsat, 7, v1, 227.4786084201187
./sledgehammer/Hoare/uf.1124589.smt2, unsat, 7, v3, 228.16580928489566
./sledgehammer/Hoare/uf.1124589.smt2, unsat, 7, v3si, 230.37817348726094
./sledgehammer/StrongNorm/uf.793193.smt2, unsat, 5, v1, 690.58825673908
./sledgehammer/StrongNorm/uf.793193.smt2, unsat, 5, v3, 781.1365238167346
./sledgehammer/StrongNorm/uf.793193.smt2, unsat, 5, v3si, 620.2176566254348
